"SCI_NAME","KEY"
"Anseranas semipalmata",211
"Dendrocygna eytoni",213
"Dendrocygna arcuata",218
"Anser anser",248
"Anser anser (Domestic type)",251
"Stictonetta naevosa",294
"Cygnus atratus",297
"Tadorna radjah",331
"Cairina moschata",347
"Cairina moschata (Domestic type)",348
"Nettapus coromandelianus",352
"Chenonetta jubata",361
"Anas platyrhynchos",396
"Anas platyrhynchos (Domestic type)",402
"Anas superciliosa",418
"Anas rhynchotis",436
"Anas gracilis",481
"Anas castanea",482
"Malacorhynchus membranaceus",488
"Aythya australis",505
"Oxyura australis",576
"Alectura lathami",580
"Numida meleagris (Domestic type)",738.9
"Pavo cristatus (Domestic type)",1011
"Synoicus ypsilophorus",1046
"Synoicus chinensis",1047
"Coturnix pectoralis",1058
"Tachybaptus novaehollandiae",1587
"Poliocephalus poliocephalus",1606
"Podiceps cristatus",1617
"Pterodroma leucoptera",1771
"Ardenna pacifica",1814
"Ardenna tenuirostris",1817
"Ephippiorhynchus asiaticus",1941.36
"Fregata ariel",1941.69
"Morus serrator",1966
"Phalacrocorax carbo",1984.04
"Phalacrocorax sulcirostris",1984.18
"Phalacrocorax varius",1984.19
"Anhinga novaehollandiae",2063
"Pelecanus conspicillatus",2074.3
"Ixobrychus dubius",2092
"Ixobrychus flavicollis",2097
"Ardea pacifica",2132
"Ardea alba",2144
"Mesophoyx intermedia",2150
"Ardea alba/Mesophoyx intermedia",2153.5
"Egretta novaehollandiae",2154
"Egretta garzetta",2158
"Egretta sacra",2166
"Bubulcus ibis",2183
"Butorides striata",2201
"Nycticorax caledonicus",2238
"Plegadis falcinellus",2268
"Threskiornis moluccus",2294
"Threskiornis spinicollis",2297
"Platalea regia",2320
"Platalea flavipes",2323
"Pandion haliaetus",2376
"Elanus axillaris",2390
"Hamirostra melanosternon",2431.2
"Lophoictinia isura",2431.8
"Aviceda subcristata",2444
"Hieraaetus morphnoides",2576.5
"Aquila audax",2595
"Circus approximans",2647
"Circus assimilis",2652
"Accipiter novaehollandiae",2729
"Accipiter fasciatus",2730
"Accipiter cirrocephalus",2786
"Milvus migrans",2855
"Haliastur sphenurus",2870
"Haliastur indus",2871
"Haliaeetus leucogaster",2876
"Gallirallus philippensis",3323
"Lewinia pectoralis",3419
"Amaurornis moluccana",3469
"Porzana fluminea",3497
"Porphyrio melanotus",3568
"Gallinula tenebrosa",3592
"Fulica atra",3609
"Burhinus grallarius",3759
"Himantopus leucocephalus",3770
"Recurvirostra novaehollandiae",3780
"Haematopus longirostris",3789
"Haematopus fuliginosus",3793
"Pluvialis squatarola",3805.1
"Pluvialis fulva",3805.6
"Vanellus miles",3834.3
"Charadrius mongolus",3861
"Charadrius leschenaultii",3869
"Charadrius bicinctus",3877
"Charadrius ruficapillus",3881
"Erythrogonys cinctus",3930.3
"Elseyornis melanops",3932
"Rostratula australis",3939.6
"Irediparra gallinacea",3943
"Numenius minutus",3992
"Numenius phaeopus",3994
"Numenius madagascariensis",4001
"Limosa limosa",4010
"Limosa lapponica",4015
"Arenaria interpres",4023
"Calidris tenuirostris",4028
"Calidris canutus",4029
"Calidris pugnax",4036
"Calidris falcinellus",4037
"Calidris acuminata",4052
"Calidris ferruginea",4054
"Calidris ruficollis",4058
"Calidris alba",4059
"Calidris melanotos",4078.02
"Limnodromus semipalmatus",4086
"Gallinago hardwickii",4100
"Xenus cinereus",4135.5
"Actitis hypoleucos",4139.01
"Tringa brevipes",4139.08
"Tringa incana",4139.09
"Tringa nebularia",4139.13
"Tringa stagnatilis",4139.21
"Tringa glareola",4139.22
"Turnix maculosus",4150
"Turnix melanogaster",4194
"Turnix varius",4197
"Turnix pyrrhothorax",4203
"Stercorarius pomarinus",4262.09
"Chroicocephalus novaehollandiae",4281
"Larus dominicanus",4372
"Anous stolidus",4380
"Anous minutus",4386
"Onychoprion fuscatus",4414
"Onychoprion anaethetus",4424
"Sternula albifrons",4433
"Gelochelidon nilotica",4456
"Hydroprogne caspia",4463
"Chlidonias leucopterus",4468
"Chlidonias hybrida",4469
"Sterna dougallii",4479
"Sterna sumatrana",4489
"Sterna hirundo",4492
"Thalasseus bergii",4518
"Thalasseus bengalensis",4532
"Columba livia",4673
"Columba leucomela",4750
"Streptopelia chinensis",4860
"Macropygia phasianella",4875
"Chalcophaps indica",4940.5
"Phaps chalcoptera",4957
"Phaps elegans",4958
"Ocyphaps lophotes",4962
"Leucosarcia melanoleuca",4979
"Geopelia cuneata",4980
"Geopelia placida",4982
"Geopelia humeralis",4987
"Ptilinopus magnificus",5359
"Ptilinopus superbus",5378
"Ptilinopus regina",5394
"Lopholaimus antarcticus",5584
"Centropus phasianinus",6870
"Eudynamys orientalis",6926.4
"Scythrops novaehollandiae",6927.2
"Chrysococcyx basalis",6929.8
"Chrysococcyx lucidus",6930.4
"Chrysococcyx minutillus",6931.6
"Chrysococcyx lucidus/minutillus",6932.6
"Cacomantis pallidus",6933.2
